"node1","node2"
30,8
30,10
30,11
30,12
30,13
30,14
30,18
30,20
30,24
30,40
30,44
30,47
30,50
31,7
31,13
31,24
31,38
31,39
31,42
31,43
31,45
31,49
31,50
32,6
32,7
32,9
32,11
32,13
32,15
32,23
32,37
32,41
32,47
32,48
32,49
32,50
33,4
33,5
33,6
33,8
33,10
33,11
33,17
33,18
33,23
33,27
33,35
33,36
33,39
33,44
33,48
34,1
34,5
34,6
34,9
34,10
34,12
34,15
34,16
34,17
34,19
34,25
34,26
34,29
34,42
34,44
34,46
35,1
35,7
35,8
35,11
35,14
35,15
35,16
35,18
35,20
35,26
35,33
35,39
35,45
35,48
36,2
36,3
36,12
36,14
36,23
36,26
36,28
36,29
36,33
36,38
36,40
36,42
36,49
37,3
37,10
37,12
37,18
37,24
37,26
37,29
37,32
37,41
37,42
37,45
37,49
38,1
38,2
38,3
38,5
38,8
38,10
38,19
38,21
38,22
38,23
38,31
38,36
38,40
38,42
38,46
38,48
39,2
39,6
39,8
39,21
39,25
39,28
39,29
39,31
39,33
39,35
39,42
39,47
39,48
39,50
40,7
40,8
40,10
40,11
40,12
40,13
40,18
40,20
40,26
40,30
40,36
40,38
40,41
40,44
40,46
40,48
41,1
41,4
41,8
41,14
41,15
41,17
41,20
41,32
41,37
41,40
41,43
41,45
42,4
42,5
42,6
42,12
42,13
42,15
42,17
42,20
42,21
42,23
42,28
42,31
42,34
42,36
42,37
42,38
42,39
42,45
42,48
43,2
43,6
43,7
43,8
43,9
43,11
43,12
43,13
43,20
43,25
43,29
43,31
43,41
43,49
43,50
44,1
44,5
44,9
44,13
44,14
44,17
44,19
44,21
44,29
44,30
44,33
44,34
44,40
44,49
44,50
45,3
45,7
45,10
45,13
45,15
45,20
45,23
45,31
45,35
45,37
45,41
45,42
45,46
45,48
45,50
46,4
46,6
46,16
46,25
46,26
46,34
46,38
46,40
46,45
46,48
47,3
47,5
47,6
47,12
47,13
47,24
47,30
47,32
47,39
47,50
48,1
48,12
48,13
48,18
48,22
48,25
48,32
48,33
48,35
48,38
48,39
48,40
48,42
48,45
48,46
48,50
49,6
49,7
49,9
49,19
49,21
49,23
49,27
49,31
49,32
49,36
49,37
49,43
49,44
49,50
50,3
50,7
50,8
50,9
50,10
50,13
50,14
50,17
50,19
50,20
50,23
50,25
50,29
50,30
50,31
50,32
50,39
50,43
50,44
50,45
50,47
50,48
50,49
